"site_pkey","site_id","n_dd","w_dd","site_description"
"732","TKN0001","64.765279965","-148.29794927",
"733","TKN0002","64.774868958","-148.31336984",
"734","TKN0003","64.77400566","-148.30475071",
"735","TKN0004","64.772553285","-148.29955596",
"736","TKN0005","64.772168115","-148.29696627",
"737","TKN0006","64.772425466","-148.29823392",
"738","TKN0007","64.872594566","-147.04551087",
"739","TKN0008","64.866435958","-147.12513201",
"740","TKN0009","65.046098151","-146.06725088",
"741","TKN0010","65.046745514","-146.06584752",
"742","TKN0011","65.047989695","-146.06267898",
"695","TKN0012","65.166788236","-147.89659572","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty loam.  Soil pH: 4.3.  Site moisture:  subxeric."
"696","TKN0013","65.165904884","-147.89642902","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty loam.  Soil pH: 4.1.  Site moisture:  subxeric."
"697","TKN0014","65.165038237","-147.89486221","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty loam.  Soil pH: 4.5.  Site moisture:  subxeric to mesic."
"698","TKN0015","65.154088402","-147.86562743","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty clay loam.  Soil pH: 4.7.  Site moisture:  mesic to subhygric."
"699","TKN0016","65.157538436","-147.87409445","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty loam.  Soil pH: 4.9.  Site moisture:  mesic."
"749","TKN0018","65.148067681","-147.34384955",
"750","TKN0019","65.149395401","-147.34445879",
"751","TKN0021","64.70286268","-148.29477353",
"700","TKN0022","64.996103954","-147.65549098","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty loam.  Soil pH: 4.8.  Site moisture:  mesic."
"701","TKN0023","64.996703925","-147.65749106","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: silty loam.  Soil pH: 4.5.  Site moisture:  subxeric to mesic."
"702","TKN0024","64.998087242","-147.65917452","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: didn't hit mineral.  Soil pH: 4.6.  Site moisture:  subxeric."
"703","TKN0025","64.999403762","-147.66852473","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: sandy clay loam.  Soil pH: 3.9.  Site moisture:  subxeric."
"704","TKN0026","64.999153722","-147.67105811","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: loess.  Soil texture: didn't hit mineral.  Soil pH: 4.7.  Site moisture:  subhygric."
"757","TKN0027","64.997178638","-147.67878625",
"758","TKN0028","64.996128981","-147.68097895",
"759","TKN0029","64.99427619","-147.68456457",
"760","TKN0030","64.995889732","-147.68859417",
"705","TKN0031","64.61016356","-147.05407546","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: stabilized alluvium.  Soil texture: sandy loam.  Soil pH: 6.2.  Site moisture:  subxeric."
"706","TKN0032","64.313151166","-146.6890373","Climate station site set up and used by Vladimir Romanovsky and Teresa Hollingsworth. Surficial geology: stabilized alluvium.  Soil texture: silty loam.  Soil pH: 4.5.  Site moisture:  mesic."
