Site ,Transect,Location,Lat,Long
1,1,0,64.869342,-147.860871
1,1,25,64.869453,-147.860442
1,1,50,64.869602,-147.860057
2,1,0,64.866889,-147.85792
2,1,25,64.867101,-147.858095
2,1,50,64.86732,-147.85828
3,1,0,64.867279,-147.859294
3,1,25,64.867404,-147.858943
3,1,50,64.867579,-147.858606
4,1,0,64.86619,-147.857261
4,1,25,64.866429,-147.857192
4,1,50,64.86665,-147.857105
5,1,0,64.86712,-147.78571
5,1,50,64.86755,-147.785784
5,1,100,64.868033,-147.785881
6,1,0,66.450202,-150.62026
6,1,50,66.450294,-150.619151
6,1,100,66.450356,-150.617993
7,1,0,67.237147,-150.160614
7,1,50,67.237474,-150.161427
7,1,100,67.237796,-150.162238
8,1,0,68.068838,-149.581105
8,1,50,68.069092,-149.580138
8,1,100,68.069341,-149.57912
9,1,0,68.477503,-149.503044
9,1,50,68.477147,-149.50234
9,1,100,68.476761,-149.501652
10,1,0,69.156156,-148.838194
10,1,50,69.156579,-148.837731
10,1,100,69.156995,-148.83724
11,1,0,69.432778,-148.674596
11,1,50,69.433115,-148.67369
11,1,100,69.433453,-148.672846
12,1,0,69.425263,-148.696508
12,1,50,69.42565,-148.697161
12,1,100,69.426031,-148.697878
14,1,0,70.162144,-148.464069
14,1,50,70.162092,-148.465386
14,1,100,70.162048,-148.466711
15,1,0,69.673873,-148.72063
15,1,50,69.673953,-148.721888
15,1,100,69.674049,-148.723187
16,1,0,69.674114,-148.718787
16,1,50,69.674561,-148.718684
16,1,100,69.675019,-148.71852
17,1,0,64.950473,-147.618037
17,1,25,64.950248,-147.617902
17,1,50,64.95003,-147.61776
21,1,0,64.706897,-148.292315
21,1,50,64.707022,-148.291303
21,1,100,64.707138,-148.2903
24,1,0,63.880063,-149.256049
24,1,30,63.880167,-149.256606
24,2,0,63.880225,-149.255864
24,2,30,63.880339,-149.256394
24,3,0,63.880332,-149.255684
24,3,30,63.880476,-149.256213
